Abbreviation,Antibiotic Name,Antibiotic Name German,Full Name,Class,Mechanism_of_action,Source,Source_URL,WHO_Class,WHO_ATC_code,Category,Listed_on_EML_2019,Broad Class
CFD,Cefdinir,CFD - Cefdinir,CFD - Cefdinir,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Pharmaceutical Directories,https://go.drugbank.com/drugs/DB00532,Third-generation cephalosporins,J01DD15,Watch,No,β-lactam
CFS,Cefsulodin,CFS - Cefsulodin,CFS - Cefsulodin,Fourth-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Not Set,Not Set,Not Set,Not Set,β-lactam
CFT,Cefetamet,CFT - Cefetamet,CFT - Cefetamet,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Pharmacology Textbooks,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Third-generation cephalosporins,J01DD10,Watch,No,β-lactam
CIN,Cinoxacin,CIN - Cinoxacin,CIN - Cinoxacin,Quinolone,Inhibits DNA gyrase,Historical Antibiotic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Quinolone
CLO,Cefaloridin,CLO - Cefaloridin,CLO - Cefaloridin,First-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Antibiotic Classification Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,β-lactam
CLX,Cloxiquin,CLX - Cloxiquin,CLX - Cloxiquin,Other Class,,Mechanism unclear (further research needed),,Not Set,Not Set,Not Set,Not Set,Other Class
CMD,Cefamandol,CMD - Cefamandol,CMD - Cefamandol,Second-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Clinical Microbiology Reviews,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Second-generation cephalosporins,J01DC03,Watch,No,β-lactam
CMT,Cefmetazol,CMT - Cefmetazol,CMT - Cefmetazol,Second-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Anaerobic Infection Protocols,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Second-generation cephalosporins,J01DC09,Watch,No,β-lactam
CMX,Cefmenoxim,CMX - Cefmenoxim,CMX - Cefmenoxim,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Antibiotic Stewardship Data,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Third-generation cephalosporins,J01DD05,Watch,No,β-lactam
CNI,Cefonicid,CNI - Cefonicid,CNI - Cefonicid,Second-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Hospital Formulary,https://www.ncbi.nlm.nih.gov/books/NBK551507/,Second-generation cephalosporins,J01DC06,Watch,No,β-lactam
COM,Cotrimazol,COM - Cotrimazol,COM - Cotrimazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK556136/,Not Set,Not Set,Not Set,Not Set,Azole
CPC,Cefpodoxim/clavulanic acid,CPC - Cefpodoxim + Clavulansäure,CPC - Cefpodoxim/clavulanic acid,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,Clinical Trials,https://clinicaltrials.gov/ct2/show/NCT03426709,Not Set,Not Set,Not Set,Not Set,β-lactam
CPI,Cefpirom,CPI - Cefpirom,CPI - Cefpirom,Fourth-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Antimicrobial Agents Journal,https://aac.asm.org/content/63/4/e02087-18,Fourth-generation cephalosporins,J01DE02,Watch,No,β-lactam
CPR,Capreomycin,CPR - Capreomycin,CPR - Capreomycin,Other Class,Inhibits protein synthesis (exact class unclear),Tuberculosis Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Other Class
CPY,Cefprozil,CPY - Cefprozil,CPY - Cefprozil,Second-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Pharmacy Resources,https://go.drugbank.com/drugs/DB01413,Second-generation cephalosporins,J01DC10,Watch,No,β-lactam
CPZ,Cefoperazon,CPZ - Cefoperazon,CPZ - Cefoperazon,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Antibiotic Resistance Atlas,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Third-generation cephalosporins,J01DD12,Watch,No,β-lactam
CRI,Cefatrizin,CRI - Cefatrizin,CRI - Cefatrizin,First-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Historical References,https://www.ncbi.nlm.nih.gov/books/NBK555886/,First-generation cephalosporins,J01DB07,Access,No,β-lactam
CSE,Cycloserin,CSE - Cycloserin,CSE - Cycloserin,Other Class,Inhibits cell wall synthesis (D-alanine analog),Tuberculosis Treatment Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Other Class
CTE,Chlortetracyclin,CTE - Chlortetracyclin,CTE - Chlortetracyclin,Tetracycline,Binds to 30S ribosomal subunit,Historical Antibiotic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Tetracyclines,J01AA03,Watch,No,Tetracycline
CXC,Cefotaxim/clavulanic acid,CXC - Cefotaxim + Clavulansäure,CXC - Cefotaxim/clavulanic acid,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,Hospital Protocols,https://www.ashp.org/-/media/assets/pharmacy-practice/resource-centers/guidelines/sample-adult-empiric-antimicrobial-guide.ashx,Not Set,Not Set,Not Set,Not Set,β-lactam
CZC,Ceftazidim/clavulanic acid,CZC - Ceftazidim + Clavulansäure,CZC - Ceftazidim/clavulanic acid,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,IDSA Guidelines,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Not Set,Not Set,Not Set,Not Set,β-lactam
CZD,Cefazedon,CZD - Cefazedon,CZD - Cefazedon,First-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Clinical Microbiology Handbook,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Not Set,Not Set,Not Set,Not Set,β-lactam
CZX,Ceftizoxim,CZX - Ceftizoxim,CZX - Ceftizoxim,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Antibiotic Stewardship Data,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Third-generation cephalosporins,J01DD07,Watch,No,β-lactam
DAN,Danofloxacin,DAN - Danofloxacin,DAN - Danofloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Veterinary Medicine References,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Fluoroquinolone
DIC,Dicloxacillin,DIC - Dicloxacillin,DIC - Dicloxacillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Penicillins ,J01CF01,Access,No,β-lactam
DIR,Dirithromycin,DIR - Dirithromycin,DIR - Dirithromycin,Macrolide,Binds to 50S ribosomal subunit,Pharmacokinetic Studies,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Macrolides,J01FA13,Watch,No,Macrolide
ECO,Econazol,ECO - Econazol,ECO - Econazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,Not Set,Not Set,Not Set,Not Set,Azole
EMB,Ethambutol,EMB - Ethambutol,EMB - Ethambutol,Other Class,Inhibits arabinosyl transferase (mycobacterial cell wall),Tuberculosis Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Other Class
ENO,Enoxacin,ENO - Enoxacin,ENO - Enoxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Clinical Pharmacology,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Fluoroquinolones,J01MA04,Watch,No,Fluoroquinolone
ESBL,Extended ß-Lactamase,ESBL - Extended ß-Lactamase,ESBL - Extended ß-Lactamase,Other Class,Enzyme that hydrolyzes β-lactams (not an antibiotic),Microbiology Textbooks,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Not Set,Not Set,Not Set,Not Set,Other Class
ETH,Ethionamid,ETH - Ethionamid,ETH - Ethionamid,Other Class,Disrupts mycolic acid synthesis (mycobacterial),Tuberculosis Treatment,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Other Class
FLE,Fleroxacillin,FLE - Fleroxacillin,FLE - Fleroxacillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Antibiotic Stewardship Review,https://academic.oup.com/cid/article/63/5/e61/2632539,Not Set,Not Set,Not Set,Not Set,β-lactam
FRA,Framycetin,FRA - Framycetin,FRA - Framycetin,Aminoglycoside,Binds to 30S ribosomal subunit,Topical Antibiotic Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Aminoglycoside
GAT,Gatifloxacin,GAT - Gatifloxacin,GAT - Gatifloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Clinical Trials Data,https://clinicaltrials.gov/ct2/show/NCT03426709,Fluoroquinolones,J01MA16,Watch,No,Fluoroquinolone
GEM,Gemifloxacin,GEM - Gemifloxacin,GEM - Gemifloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Antimicrobial Agents Journal,https://aac.asm.org/content/63/4/e02087-18,Fluoroquinolones,J01MA15,Watch,No,Fluoroquinolone
GRE,Grepafloxacin,GRE - Grepafloxacin,GRE - Grepafloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Historical Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Fluoroquinolone
INH,Isoniazid,INH - Isoniazid,INH - Isoniazid,Other Class,Inhibits mycolic acid synthesis (mycobacterial),Tuberculosis Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Other Class
ISE,Isepamicin,ISE - Isepamicin,ISE - Isepamicin,Aminoglycoside,Binds to 30S ribosomal subunit,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Aminoglycosides,J01GB11,Watch,No,Aminoglycoside
ISO,Isooxazolylpenicillin,ISO - Isooxazolylpenicillin,ISO - Isooxazolylpenicillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Antibiotic Classification Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,β-lactam
JOS,Josamycin,JOS - Josamycin,JOS - Josamycin,Macrolide,Binds to 50S ribosomal subunit,Respiratory Infection References,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Macrolides,J01FA07,Watch,No,Macrolide
KET,Ketoconazol,KET - Ketoconazol,KET - Ketoconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,Not Set,Not Set,Not Set,Not Set,Azole
KHL,Kanamycin (high level),KHL - Kanamycin (high level),KHL - Kanamycin (high level),Aminoglycoside,High-dose ribosomal binding,Specialized Protocols,https://www.ncbi.nlm.nih.gov/books/NBK430906/,Not Set,Not Set,Not Set,Not Set,Aminoglycoside
LAM,Lampren,LAM - Lampren,LAM - Lampren,Other Class,Antileprosy agent (mechanism unclear),Leprosy Treatment Guides,https://www.ncbi.nlm.nih.gov/books/NBK551507/,Not Set,Not Set,Not Set,Not Set,Other Class
LMO,Latamofex,LMO - Latamofex,LMO - Latamofex,Other Class,,Mechanism/class not well-documented,,Not Set,Not Set,Not Set,Not Set,Other Class
LOR,Loracarbef,LOR - Loracarbef,LOR - Loracarbef,Carbacephem (β-lactam),Cell wall synthesis inhibition,Clinical Microbiology Reviews,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Not Set,Not Set,Not Set,Not Set,β-lactam
MAR,Marbofloxacin,MAR - Marbofloxacin,MAR - Marbofloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Veterinary Medicine Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Fluoroquinolone
MCL,Mecillinam,MCL - Mecillinam,MCL - Mecillinam,Penicillin (β-lactam),Targets PBP2 (cell wall synthesis),EUCAST UTI Guidelines,https://www.eucast.org/guidelines-documents/,Penicillins ,J01CA11,Access,No,β-lactam
MCZ,Miconazol,MCZ - Miconazol,MCZ - Miconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK556136/,Not Set,Not Set,Not Set,Not Set,Azole
MET,Methicillin,MET - Methicillin,MET - Methicillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Historical Antibiotic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,β-lactam
MID,Midekamycin,MID - Midekamycin,MID - Midekamycin,Macrolide,Binds to 50S ribosomal subunit,Respiratory Infection Studies,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Not Set,Not Set,Not Set,Not Set,Macrolide
MZS,Sulbactam/Mezlocillin,MZS - Sulbactam/Mezlocillin,MZS - Sulbactam/Mezlocillin,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,Hospital Protocols,https://www.ashp.org/-/media/assets/pharmacy-practice/resource-centers/guidelines/sample-adult-empiric-antimicrobial-guide.ashx,Not Set,Not Set,Not Set,Not Set,β-lactam
NYS,Nystatin,NYS - Nystatin,NYS - Nystatin,Polyene,Binds ergosterol (fungal membrane disruption),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,Not Set,Not Set,Not Set,Not Set,Polyene
OLE,Oleandomycin,OLE - Oleandomycin,OLE - Oleandomycin,Macrolide,Binds to 50S ribosomal subunit,Historical Pharmacology,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Macrolides,J01FA05,Watch,No,Macrolide
PAN,Panipenem,PAN - Panipenem,PAN - Panipenem,Carbapenem (β-lactam),Cell wall synthesis inhibition,Japanese Antibiotic Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Carbapenems,to be assigned,Watch,No,β-lactam
PAR,Paromycin,PAR - Paromycin,PAR - Paromycin,Aminoglycoside,Binds to 30S ribosomal subunit,Antiprotozoal References,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Aminoglycoside
PAS,p-Aminosalicylic acid,PAS - p-Aminosalicylsaeure,PAS - p-Aminosalicylic acid,Other Class,Inhibits folate synthesis (mycobacterial),Tuberculosis Treatment,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Other Class
PEF,Perfloxacin,PEF - Perfloxacin,PEF - Perfloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Historical Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Fluoroquinolone
PIV,Pivampicillin,PIV - Pivampicillin,PIV - Pivampicillin,Penicillin (β-lactam),Prodrug of ampicillin,Pharmacokinetic Studies,https://go.drugbank.com/drugs/DB00683,Penicillins ,J01CA02,Access,No,β-lactam
PTH,Protionamid,PTH - Protionamid,PTH - Protionamid,Other Class,Disrupts mycolic acid synthesis (mycobacterial),Tuberculosis Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Other Class
PZA,Pyrazinamid,PZA - Pyrazinamid,PZA - Pyrazinamid,Other Class,Disrupts mycobacterial membrane potential,Tuberculosis Treatment,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Other Class
ROC,Rocephin,ROC - Rocephin,ROC - Rocephin,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Brand Name Cross-Reference,https://go.drugbank.com/drugs/DB00258,Not Set,Not Set,Not Set,Not Set,β-lactam
ROS,Rosoxacin,ROS - Rosoxacin,ROS - Rosoxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Historical Antibiotic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Fluoroquinolone
SAZ,Sulphamethoxazol,SAZ - Sulphamethoxazol,SAZ - Sulphamethoxazol,Sulfonamide,Inhibits dihydropteroate synthase,WHO Essential Medicines List,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/essential-medicines-lists,Not Set,Not Set,Not Set,Not Set,Sulfonamide
SFX,Sulfamethizol,SFX - Sulfamethizol,SFX - Sulfamethizol,Sulfonamide,Inhibits dihydropteroate synthase,Urinary Antiseptic Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Sulfonamide
SIS,Sisomycin,SIS - Sisomycin,SIS - Sisomycin,Aminoglycoside,Binds to 30S ribosomal subunit,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Not Set,Not Set,Not Set,Not Set,Aminoglycoside
SLN,Sulfalen,SLN - Sulfalen,SLN - Sulfalen,Sulfonamide,Inhibits dihydropteroate synthase,Historical Pharmacology,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Sulfonamide
SOX,Sulfisoxazol,SOX - Sulfisoxazol,SOX - Sulfisoxazol,Sulfonamide,Inhibits dihydropteroate synthase,Antimicrobial Agents Textbook,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Not Set,Not Set,Not Set,Not Set,Sulfonamide
SPF,Sparfloxacin,SPF - Sparfloxacin,SPF - Sparfloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Clinical Trials Data,https://clinicaltrials.gov/ct2/show/NCT03426709,Fluoroquinolones,J01MA09,Watch,No,Fluoroquinolone
SPM,Spiramycin,SPM - Spiramycin,SPM - Spiramycin,Macrolide,Binds to 50S ribosomal subunit,Parasitology References,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Macrolides,J01FA02,Watch,No,Macrolide
SUL,Sulbactam,SUL - Sulbactam,SUL - Sulbactam,β-lactamase inhibitor,Inhibits β-lactamases,Antibiotic Stewardship Data,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Not Set,Not Set,Not Set,Not Set,β-lactam
TFX,Trovafloxacin,TFX - Trovafloxacin,TFX - Trovafloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Withdrawn Drug Archives,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Not Set,Not Set,Not Set,Not Set,Fluoroquinolone
TMO,Temocillin,TMO - Temocillin,TMO - Temocillin,Penicillin (β-lactam),Cell wall synthesis inhibition,EUCAST Technical Notes,https://www.eucast.org/fileadmin/src/media/PDFs/EUCAST_files/Guidance_documents/Expert_Rules_Technical_Notes_2020.pdf,Carboxypenicillins,J01CA17,Watch,No,β-lactam
TOS,Tosufloxacin,TOS - Tosufloxacin,TOS - Tosufloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Japanese Antibiotic Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Fluoroquinolones,J01MA22,Watch,No,Fluoroquinolone
VOR,Voriconazol,VOR - Voriconazol,VOR - Voriconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,Not Set,Not Set,Not Set,Not Set,Azole
CTL,Ceftarolin,CTL - Ceftarolin,CTL - Ceftarolin,Fifth-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,IDSA Guidelines,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Fifth-generation cephalosporins,J01DI02 ,Reserve,No,β-lactam
DOR,Doripenem,DOR - Doripenem,DOR - Doripenem,Carbapenem (β-lactam),Cell wall synthesis inhibition,Antimicrobial Agents Journal,https://aac.asm.org/content/63/4/e02087-18,Carbapenems,J01DH04,Watch,No,β-lactam
TLV,Telavancin,TLV - Telavancin,TLV - Telavancin,Lipoglycopeptide,Disrupts membrane potential & cell wall synthesis,Antibiotic Stewardship Review,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Glycopeptides,J01XA03,Reserve,No,Lipoglycopeptide
CZA,Ceftazidim/Avibactam,CZA - Ceftazidim + Avibactam,CZA - Ceftazidim/Avibactam,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,IDSA Recommendations,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Not Set,Not Set,Not Set,Not Set,β-lactam
CZT,Ceftolozan/Tazobactam,CZT - Ceftolozan + Tazobactam,CZT - Ceftolozan/Tazobactam,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,Clinical Trials Data,https://clinicaltrials.gov/ct2/show/NCT03426709,Fifth-generation cephalosporins,J01DI54,Reserve,No,β-lactam
ORI,Oritavancin,ORI - Oritavancin,ORI - Oritavancin,Lipoglycopeptide,Inhibits cell wall synthesis & disrupts membrane,Skin Infection Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Glycopeptides,J01XA05,Reserve,No,Lipoglycopeptide
BPR,Ceftobiprol,BPR - Ceftobiprol,BPR - Ceftobiprol,Fifth-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,EUCAST Technical Notes,https://www.eucast.org/fileadmin/src/media/PDFs/EUCAST_files/Guidance_documents/Expert_Rules_Technical_Notes_2020.pdf,Not Set,Not Set,Not Set,Not Set,β-lactam
DAL,Dalbavancin,DAL - Dalbavancin,DAL - Dalbavancin,Lipoglycopeptide,Inhibits cell wall synthesis,Skin Infection Protocols,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Glycopeptides,J01XA04,Reserve,No,Lipoglycopeptide
TZD,Tedizolid,TZD - Tedizolid,TZD - Tedizolid,Oxazolidinone,Binds to 50S ribosomal subunit,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Oxazolidinones,J01XX11,Reserve,No,Oxazolidinone
MIC,Micafungin,MIC - Micafungin,MIC - Micafungin,Echinocandin,Inhibits β-(1,3)-D-glucan synthase (fungal),Antifungal Guidelines,Not Set,Not Set,Not Set,Not Set,Echinocandin
SPC,Spectinomycin,SPC - Spectinomycin,SPC - Spectinomycin,Aminocyclitol,Binds to 30S ribosomal subunit,Sexually Transmitted Infection Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Aminocyclitols,J01XX04,Access,Yes,Aminocyclitol
ANI,Anidulafungin,ANI - Anidulafungin,ANI - Anidulafungin,Echinocandin,Inhibits β-(1,3)-D-glucan synthase (fungal),Antifungal Drug Database,Not Set,Not Set,Not Set,Not Set,Echinocandin
IVC,Isavuconazol,IVC - Isavuconazol,IVC - Isavuconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK556136/,Not Set,Not Set,Not Set,Not Set,Azole
POS,Posaconazol,POS - Posaconazol,POS - Posaconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,Not Set,Not Set,Not Set,Not Set,Azole
FID,Fidaxomicin,FID - Fidaxomicin,FID - Fidaxomicin,Macrocyclic,Inhibits RNA polymerase (narrow-spectrum),C. difficile Treatment Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Not Set,Not Set,Not Set,Not Set,Macrocyclic
OMA,Omadacyclin,OMA - Omadacyclin,OMA - Omadacyclin,Tetracycline derivative,Binds to 30S ribosomal subunit,Novel Antibiotic Studies,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Tetracyclines,to be assigned,Reserve,No,Tetracycline derivative
CCO,Cefiderocol,CCO - Cefiderocol,CCO - Cefiderocol,Siderophore cephalosporin (β-lactam),Iron transport-mediated cell wall inhibition,IDSA Emerging Pathogens,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Not Set,Not Set,Not Set,Not Set,β-lactam
PLA,Plazomicin,PLA - Plazomicin,PLA - Plazomicin,Aminoglycoside,Binds to 30S ribosomal subunit (resistance-modified),Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Aminoglycosides,to be assigned,Reserve,Yes,Aminoglycoside
DEL,Delafloxacin,DEL - Delafloxacin,DEL - Delafloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Skin Infection Protocols,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Fluoroquinolones,J01MA23,Watch,No,Fluoroquinolone
LEF,Lefamulin,LEF - Lefamulin,LEF - Lefamulin,Pleuromutilin,Binds to 50S ribosomal subunit,Community-Acquired Pneumonia Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Not Set,Not Set,Not Set,Not Set,Pleuromutilin
PIC,Pivmecillinam,PIC - Pivmecillinam,PIC - Pivmecillinam,Penicillin (β-lactam),Prodrug of mecillinam (cell wall synthesis),EUCAST UTI Guidelines,https://www.eucast.org/guidelines-documents/,Penicillins ,J01CA08,Access,No,β-lactam
